@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1557,0,283,0,1,1,0.846196,1,0.153804,0.916691,1,1,0
1,1557,0,273,10,0.964664,1,0.85082,1,0.14918,0.919398,0.994565,1.005464,0
2,1557,0,268,15,0.946996,1,0.853151,1,0.146849,0.920757,0.991848,1.008219,0
3,1557,0,264,19,0.932862,1,0.855025,1,0.144975,0.921847,0.989674,1.010434,0
4,1557,0,259,24,0.915194,1,0.857379,1,0.142621,0.923214,0.986957,1.013216,0
5,1557,0,248,35,0.876325,1,0.862604,1,0.137396,0.926234,0.980978,1.019391,0
6,1557,0,233,50,0.823322,1,0.869832,1,0.130168,0.930385,0.972826,1.027933,0
7,1557,0,232,51,0.819788,1,0.870319,1,0.129681,0.930663,0.972283,1.028508,0
8,1557,0,217,66,0.766784,1,0.877678,1,0.122322,0.934854,0.96413,1.037204,0
9,1557,0,215,68,0.759717,1,0.878668,1,0.121332,0.935416,0.963043,1.038375,0
10,1557,0,214,69,0.756184,1,0.879164,1,0.120836,0.935697,0.9625,1.038961,0
11,1557,0,213,70,0.75265,1,0.879661,1,0.120339,0.935978,0.961957,1.039548,0
12,1557,0,211,72,0.745583,1,0.880656,1,0.119344,0.936541,0.96087,1.040724,0
13,1557,0,209,74,0.738516,1,0.881653,1,0.118347,0.937105,0.959783,1.041903,0
14,1557,0,207,76,0.731449,1,0.882653,1,0.117347,0.937669,0.958696,1.043084,0
15,1557,0,199,84,0.70318,1,0.886674,1,0.113326,0.939934,0.954348,1.047836,0
16,1557,0,190,93,0.671378,1,0.891242,1,0.108758,0.942494,0.949457,1.053234,0
17,1557,0,188,95,0.664311,1,0.892264,1,0.107736,0.943065,0.94837,1.054441,0
18,1557,0,187,96,0.660777,1,0.892775,1,0.107225,0.94335,0.947826,1.055046,0
19,1557,0,185,98,0.65371,1,0.8938,1,0.1062,0.943922,0.946739,1.056257,0
20,1557,0,183,100,0.646643,1,0.894828,1,0.105172,0.944495,0.945652,1.057471,0
21,1557,0,173,110,0.611307,1,0.9,1,0.1,0.947368,0.940217,1.063584,0
22,1557,0,171,112,0.60424,1,0.901042,1,0.098958,0.947945,0.93913,1.064815,0
23,1557,0,169,114,0.597173,1,0.902086,1,0.097914,0.948523,0.938043,1.066049,0
24,1557,0,168,115,0.59364,1,0.902609,1,0.097391,0.948812,0.9375,1.066667,0
25,1557,0,165,118,0.583039,1,0.904181,1,0.095819,0.94968,0.93587,1.068525,0
26,1557,0,160,123,0.565371,1,0.906814,1,0.093186,0.95113,0.933152,1.071637,0
27,1557,0,159,124,0.561837,1,0.907343,1,0.092657,0.951421,0.932609,1.072261,0
28,1557,0,156,127,0.551237,1,0.908932,1,0.091068,0.952294,0.930978,1.074139,0
29,1557,0,155,128,0.547703,1,0.909463,1,0.090537,0.952585,0.930435,1.074766,0
30,1557,0,152,131,0.537102,1,0.911059,1,0.088941,0.95346,0.928804,1.076653,0
31,1557,0,147,136,0.519435,1,0.913732,1,0.086268,0.954922,0.926087,1.079812,0
32,1557,0,139,144,0.491166,1,0.918042,1,0.081958,0.95727,0.921739,1.084906,0
33,1557,0,128,155,0.452297,1,0.924036,1,0.075964,0.960518,0.915761,1.091988,0
34,1557,0,125,158,0.441696,1,0.925684,1,0.074316,0.961408,0.91413,1.093936,0
35,1557,0,121,162,0.427562,1,0.92789,1,0.07211,0.962597,0.911957,1.096544,0
36,1557,0,120,163,0.424028,1,0.928444,1,0.071556,0.962894,0.911413,1.097197,0
37,1557,0,112,171,0.39576,1,0.932894,1,0.067106,0.965282,0.907065,1.102457,0
38,1557,0,111,172,0.392226,1,0.933453,1,0.066547,0.965581,0.906522,1.103118,0
39,1557,0,110,173,0.388693,1,0.934013,1,0.065987,0.965881,0.905978,1.103779,0
40,1557,0,101,182,0.35689,1,0.939083,1,0.060917,0.968585,0.901087,1.109771,0
41,1557,0,100,183,0.353357,1,0.93965,1,0.06035,0.968886,0.900543,1.110441,0
42,1557,0,99,184,0.349823,1,0.940217,1,0.059783,0.969188,0.9,1.111111,0
43,1557,0,97,186,0.342756,1,0.941354,1,0.058646,0.969791,0.898913,1.112455,0
44,1557,0,96,187,0.339223,1,0.941924,1,0.058076,0.970093,0.89837,1.113128,0
45,1557,0,93,190,0.328622,1,0.943636,1,0.056364,0.971001,0.896739,1.115152,0
46,1557,0,92,191,0.325088,1,0.944209,1,0.055791,0.971304,0.896196,1.115828,0
47,1557,0,90,193,0.318021,1,0.945355,1,0.054645,0.97191,0.895109,1.117183,0
48,1557,0,89,194,0.314488,1,0.94593,1,0.05407,0.972214,0.894565,1.117861,0
49,1557,0,87,196,0.30742,1,0.94708,1,0.05292,0.972821,0.893478,1.119221,0
50,1557,0,85,198,0.300353,1,0.948234,1,0.051766,0.973429,0.892391,1.120585,0
51,1557,0,84,199,0.29682,1,0.948812,1,0.051188,0.973734,0.891848,1.121268,0
52,1557,0,83,200,0.293286,1,0.94939,1,0.05061,0.974038,0.891304,1.121951,0
53,1557,0,80,203,0.282686,1,0.95113,1,0.04887,0.974953,0.889674,1.124007,0
54,1557,0,79,204,0.279152,1,0.951711,1,0.048289,0.975258,0.88913,1.124694,0
55,1557,0,76,207,0.268551,1,0.95346,1,0.04654,0.976176,0.8875,1.126761,0
56,1557,0,75,208,0.265018,1,0.954044,1,0.045956,0.976482,0.886957,1.127451,0
57,1557,0,74,209,0.261484,1,0.954629,1,0.045371,0.976788,0.886413,1.128142,0
58,1557,0,73,210,0.257951,1,0.955215,1,0.044785,0.977094,0.88587,1.128834,0
59,1557,0,72,211,0.254417,1,0.955801,1,0.044199,0.977401,0.885326,1.129527,0
60,1557,0,71,212,0.250883,1,0.956388,1,0.043612,0.977708,0.884783,1.130221,0
61,1557,0,70,213,0.24735,1,0.956976,1,0.043024,0.978015,0.884239,1.130916,0
62,1557,0,69,214,0.243816,1,0.957565,1,0.042435,0.978322,0.883696,1.131611,0
63,1557,0,68,215,0.240283,1,0.958154,1,0.041846,0.97863,0.883152,1.132308,0
64,1557,0,67,216,0.236749,1,0.958744,1,0.041256,0.978937,0.882609,1.133005,0
65,1557,0,66,217,0.233216,1,0.959335,1,0.040665,0.979245,0.882065,1.133703,0
66,1557,0,65,218,0.229682,1,0.959926,1,0.040074,0.979553,0.881522,1.134402,0
67,1557,0,64,219,0.226148,1,0.960518,1,0.039482,0.979862,0.880978,1.135102,0
68,1557,0,63,220,0.222615,1,0.961111,1,0.038889,0.98017,0.880435,1.135802,0
69,1557,0,62,221,0.219081,1,0.961705,1,0.038295,0.980479,0.879891,1.136504,0
70,1557,0,61,222,0.215548,1,0.962299,1,0.037701,0.980787,0.879348,1.137206,0
71,1557,0,60,223,0.212014,1,0.962894,1,0.037106,0.981096,0.878804,1.13791,0
72,1557,0,59,224,0.208481,1,0.96349,1,0.03651,0.981406,0.878261,1.138614,0
73,1557,0,58,225,0.204947,1,0.964087,1,0.035913,0.981715,0.877717,1.139319,0
74,1557,0,55,228,0.194346,1,0.965881,1,0.034119,0.982644,0.876087,1.141439,0
75,1557,0,54,229,0.190813,1,0.96648,1,0.03352,0.982955,0.875543,1.142148,0
76,1557,0,53,230,0.187279,1,0.967081,1,0.032919,0.983265,0.875,1.142857,0
77,1557,0,52,231,0.183746,1,0.967682,1,0.032318,0.983575,0.874457,1.143567,0
78,1557,0,51,232,0.180212,1,0.968284,1,0.031716,0.983886,0.873913,1.144279,0
79,1557,0,50,233,0.176678,1,0.968886,1,0.031114,0.984197,0.87337,1.144991,0
80,1557,0,49,234,0.173145,1,0.969489,1,0.030511,0.984508,0.872826,1.145704,0
81,1557,0,48,235,0.169611,1,0.970093,1,0.029907,0.98482,0.872283,1.146417,0
82,1557,0,47,236,0.166078,1,0.970698,1,0.029302,0.985131,0.871739,1.147132,0
83,1557,0,46,237,0.162544,1,0.971304,1,0.028696,0.985443,0.871196,1.147848,0
84,1557,0,45,238,0.159011,1,0.97191,1,0.02809,0.985755,0.870652,1.148564,0
85,1557,0,44,239,0.155477,1,0.972517,1,0.027483,0.986067,0.870109,1.149282,0
86,1557,0,43,240,0.151943,1,0.973125,1,0.026875,0.986379,0.869565,1.15,0
87,1557,0,42,241,0.14841,1,0.973734,1,0.026266,0.986692,0.869022,1.150719,0
88,1557,0,41,242,0.144876,1,0.974343,1,0.025657,0.987005,0.868478,1.151439,0
89,1557,0,40,243,0.141343,1,0.974953,1,0.025047,0.987318,0.867935,1.15216,0
90,1556,1,40,243,0.141343,0.999358,0.974937,0.999358,0.025063,0.986997,0.867391,1.152142,0.000001
91,1556,1,39,244,0.137809,0.999358,0.975549,0.999358,0.024451,0.98731,0.866848,1.152864,0.000002
92,1556,1,38,245,0.134276,0.999358,0.976161,0.999358,0.023839,0.987623,0.866304,1.153587,0.000002
93,1556,1,37,246,0.130742,0.999358,0.976773,0.999358,0.023227,0.987937,0.865761,1.154312,0.000006
94,1556,1,36,247,0.127208,0.999358,0.977387,0.999358,0.022613,0.98825,0.865217,1.155037,0.000014
95,1556,1,35,248,0.123675,0.999358,0.978001,0.999358,0.021999,0.988564,0.864674,1.155763,0.000025
96,1556,1,34,249,0.120141,0.999358,0.978616,0.999358,0.021384,0.988878,0.86413,1.156489,0.000036
97,1556,1,33,250,0.116608,0.999358,0.979232,0.999358,0.020768,0.989193,0.863587,1.157217,0.000086
98,1556,1,32,251,0.113074,0.999358,0.979849,0.999358,0.020151,0.989507,0.863043,1.157946,0.000091
99,1556,1,31,252,0.109541,0.999358,0.980466,0.999358,0.019534,0.989822,0.8625,1.158676,0.000105
100,1556,1,30,253,0.106007,0.999358,0.981084,0.999358,0.018916,0.990137,0.861957,1.159406,0.000136
101,1556,1,29,254,0.102473,0.999358,0.981703,0.999358,0.018297,0.990452,0.861413,1.160138,0.000551
102,1556,1,28,255,0.09894,0.999358,0.982323,0.999358,0.017677,0.990767,0.86087,1.16087,0.244879
103,1556,1,27,256,0.095406,0.999358,0.982944,0.999358,0.017056,0.991083,0.860326,1.161603,0.443971
104,1555,2,27,256,0.095406,0.998715,0.982933,0.998715,0.017067,0.990761,0.859783,1.161591,0.54966
105,1555,2,26,257,0.091873,0.998715,0.983555,0.998715,0.016445,0.991077,0.859239,1.162325,0.705878
106,1555,2,25,258,0.088339,0.998715,0.984177,0.998715,0.015823,0.991393,0.858696,1.163061,0.764767
107,1552,5,25,258,0.088339,0.996789,0.984147,0.996789,0.015853,0.990428,0.857065,1.163025,0.781219
108,1551,6,25,258,0.088339,0.996146,0.984137,0.996146,0.015863,0.990105,0.856522,1.163014,0.916779
109,1551,6,24,259,0.084806,0.996146,0.984762,0.996146,0.015238,0.990421,0.855978,1.163752,0.990716
110,1551,6,23,260,0.081272,0.996146,0.985388,0.996146,0.014612,0.990738,0.855435,1.164491,0.998941
111,1551,6,22,261,0.077739,0.996146,0.986014,0.996146,0.013986,0.991054,0.854891,1.165232,0.999127
112,1551,6,21,262,0.074205,0.996146,0.986641,0.996146,0.013359,0.991371,0.854348,1.165973,0.999163
113,1550,7,21,262,0.074205,0.995504,0.986633,0.995504,0.013367,0.991049,0.853804,1.165963,0.999344
114,1549,8,21,262,0.074205,0.994862,0.986624,0.994862,0.013376,0.990726,0.853261,1.165953,0.999773
115,1549,8,20,263,0.070671,0.994862,0.987253,0.994862,0.012747,0.991043,0.852717,1.166696,0.999896
116,1548,9,20,263,0.070671,0.99422,0.987245,0.99422,0.012755,0.99072,0.852174,1.166686,0.999896
117,1548,9,19,264,0.067138,0.99422,0.987875,0.99422,0.012125,0.991037,0.85163,1.167431,0.999906
